WBS Number,Title,Start,End,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
1.2.4.6.1.3,Library Completion,T+39d 3:00 PM,T+40d 10:00 AM,4h,2h,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.1.2,,0,,
1.2.4.6.2,Schematic,T+40d 10:00 AM,T+44d 10:30 AM,4d 30m 1s,2d 1h 30m,0%,,,,,,,,,1.2.4.6.1.3,,,,
1.2.4.6.2.1,Schematic to Feature Complete ,T+40d 10:00 AM,T+41d 12:00 PM,1d 2h,5h,0%,,,,,,,,,,,,,
1.2.4.6.2.1.1,Local Component Wiring [.5]  ,T+40d 10:00 AM,T+40d 3:00 PM,4h,2h,0%,,Malcolm Knapp {50% of 50%},,,,,,,,,0,,
1.2.4.6.2.1.2,Global Wiring,T+40d 3:00 PM,T+41d 12:00 PM,6h,3h,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.2.1.1,,0,,
1.2.4.6.2.2,Schematic Clean Up,T+41d 1:00 PM,T+42d 10:00 AM,6h,3h,0%,,,,,,,,,1.2.4.6.2.1.2,,,,
1.2.4.6.2.2.1,Clearing the ERC,T+41d 1:00 PM,T+42d 10:00 AM,6h,3h,0%,,Malcolm Knapp {50% of 50%},,,,,,,,,0,,
1.2.4.6.2.3,Schematic Self Review,T+42d 10:00 AM,T+42d 5:00 PM,6h,3h,0%,,,,,,,,,1.2.4.6.2.2,,,,
1.2.4.6.2.3.1,Net List Review,T+42d 10:00 AM,T+42d 12:00 PM,2h,1h,0%,,Malcolm Knapp {50% of 50%},,,,,,,,,0,,
1.2.4.6.2.3.2,BOM Review,T+42d 1:00 PM,T+42d 3:00 PM,2h,1h,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.2.3.1,,0,,
1.2.4.6.2.3.3,Data sheet Review,T+42d 3:00 PM,T+42d 5:00 PM,2h,1h,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.2.3.2,,0,,
1.2.4.6.2.4,Schematic Review,T+43d 8:00 AM,T+43d 12:00 PM,4h,4h,0%,,Assembly House,,,,,,,1.2.4.6.2.3.3,,0,,
1.2.4.6.2.5,Schemtic Updates,T+43d 1:00 PM,T+43d 5:00 PM,4h,2h,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.2.4,,0,,
1.2.4.6.2.6,Schematic Final Check,T+44d 8:00 AM,T+44d 10:30 AM,2h 30m 1s,30m,0%,,Reviewers {20% of 20%},,,,,,,1.2.4.6.2.5,,0,,
1.2.4.6.2.7,Schematic Release,T+44d 10:30 AM,T+44d 10:30 AM,,,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.2.6,,,,
1.2.4.6.3,BOM,T+39d 3:00 PM,T+49d 8:30 AM,1w 4d 2h 30m 6s,2d 4h 30m,0%,,,,,,,,,1.2.4.6.1.2,,,,
1.2.4.6.3.1,Major Component BOM ,T+39d 3:00 PM,T+41d 3:00 PM,2d,4h,0%,,Malcolm Knapp {25% of 50%},,,,,,,1.2.4.6.1.2,,0,,
1.2.4.6.3.2,BOM Creation to Component Complete,T+41d 3:00 PM,T+43d 3:00 PM,2d,4h,0%,,Malcolm Knapp {25% of 50%},,,,,,,1.2.4.6.3.1,,0,,
1.2.4.6.3.3,BOM Clean Up ,T+43d 3:00 PM,T+44d 10:00 AM,4h,2h,0%,,,,,,,,,1.2.4.6.3.2,,,,
1.2.4.6.3.3.1,Component Consolodation,T+43d 3:00 PM,T+44d 10:00 AM,4h,2h,0%,,Malcolm Knapp {50% of 50%},,,,,T+27d 2:00 PM,,,,0,,
1.2.4.6.3.4,BOM Self Review,T+44d 10:00 AM,T+45d 10:00 AM,1d,4h,0%,,,,,,,,,1.2.4.6.3.3,,,,
1.2.4.6.3.4.1,MFG Part Number Check,T+44d 10:00 AM,T+44d 3:00 PM,4h,2h,0%,,Malcolm Knapp {50% of 50%},,,,,,,,,0,,
1.2.4.6.3.4.2,Footprint check,T+44d 3:00 PM,T+45d 10:00 AM,4h,2h,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.3.4.1,,0,,
1.2.4.6.3.5,BOM Review,T+45d 10:00 AM,T+47d 3:00 PM,2d 4h 1s,4h,0%,,Reviewers {20% of 20%},,,,,,,1.2.4.6.3.4.2,,0,,
1.2.4.6.3.6,BOM Update,T+47d 3:00 PM,T+48d 3:00 PM,1d 3s,2h,0%,,Malcolm Knapp {25% of 50%},,,,,,,1.2.4.6.3.5,,0,,
1.2.4.6.3.7,BOM Final check,T+48d 3:00 PM,T+49d 8:30 AM,2h 30m 2s,30m,0%,,Reviewers {20% of 20%},,,,,,,1.2.4.6.3.6,,0,,
1.2.4.6.3.8,BOM Release,T+49d 8:30 AM,T+49d 8:30 AM,,,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.3.7,,,,
1.2.4.6.4,Final Sourcing ,T+49d 8:30 AM,T+58d 8:30 AM,1w 4d,1w 1d,0%,,,,,,,,,,,,,
1.2.4.6.4.1,Remaining Component Sourcing ,T+49d 8:30 AM,T+55d 8:30 AM,1w 1d,3d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.3.8,,0,,
1.2.4.6.4.2,Remaining Component Shipping,T+55d 8:30 AM,T+58d 8:30 AM,3d,3d,0%,,Shipping,,,,,,,1.2.4.6.4.1,,0,,
1.2.4.6.5,Layout,T+44d 10:30 AM,T+50d 9:00 AM,1w 6h 30m 10s,2d 1h 30m,0%,,,,,,,,,"1.2.4.6.2.7, 1.2.4.6.3.1",,,,
1.2.4.6.5.1,Layout to Component Complete,T+44d 10:30 AM,T+45d 3:30 PM,1d 4h 1s,6h,0%,,,,,,,,,,,,,
1.2.4.6.5.1.1,Component Grouping,T+44d 10:30 AM,T+44d 11:30 AM,1h,30m,0%,,Malcolm Knapp {50% of 50%},,,,,,,,,0,,
1.2.4.6.5.1.2,First placement [.5],T+44d 11:30 AM,T+44d 1:30 PM,1h 1s,30m,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.5.1.1,,0,,
1.2.4.6.5.1.3,Internal routing [.5],T+44d 1:30 PM,T+44d 2:30 PM,1h,30m,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.5.1.2,,0,,
1.2.4.6.5.1.4,Second Placement [.5],T+44d 2:30 PM,T+44d 3:30 PM,1h,30m,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.5.1.3,,0,,
1.2.4.6.5.1.5,Global Routing,T+44d 3:30 PM,T+45d 3:30 PM,1d,4h,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.5.1.4,,0,,
1.2.4.6.5.2,Layout Clean Up,T+45d 3:30 PM,T+46d 10:30 AM,4h,2h,0%,,,,,,,,,1.2.4.6.5.1.5,,,,
1.2.4.6.5.2.1,DRC,T+45d 3:30 PM,T+46d 10:30 AM,4h,2h,0%,,Malcolm Knapp {50% of 50%},,,,,,,,,0,,
1.2.4.6.5.3,Layout Self Review,T+46d 10:30 AM,T+47d 1:30 PM,1d 2h,5h,0%,,,,,,,,,1.2.4.6.5.2.1,,,,
1.2.4.6.5.3.1,Plane Check,T+46d 10:30 AM,T+46d 1:30 PM,2h,1h,0%,,Malcolm Knapp {50% of 50%},,,,,,,,,0,,
1.2.4.6.5.3.2,Net width check,T+46d 1:30 PM,T+46d 3:30 PM,2h,1h,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.5.3.1,,0,,
1.2.4.6.5.3.3,via check,T+46d 3:30 PM,T+47d 8:30 AM,2h,1h,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.5.3.2,,0,,
1.2.4.6.5.3.4,footprint check,T+47d 8:30 AM,T+47d 1:30 PM,4h,2h,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.5.3.3,,0,,
1.2.4.6.5.4,Layout Review,T+47d 1:30 PM,T+48d 3:30 PM,1d 2h 4s,2h,0%,,Reviewers {20% of 20%},,,,,,,1.2.4.6.5.3.4,,0,,
1.2.4.6.5.5,Layout Updates,T+48d 3:30 PM,T+49d 3:30 PM,1d 2s,2h,0%,,Malcolm Knapp {25% of 50%},,,,,,,1.2.4.6.5.4,,0,,
1.2.4.6.5.6,Layout Final Check,T+49d 3:30 PM,T+50d 9:00 AM,2h 30m 3s,30m,0%,,Reviewers {20% of 20%},,,,,,,1.2.4.6.5.5,,0,,
1.2.4.6.5.7,Layout Release,T+50d 9:00 AM,T+50d 9:00 AM,,,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.5.6,,,,
1.2.5,Build ,T+50d 9:00 AM,T+68d 8:30 AM,3w 2d 7h 29m 55s,3w,0%,,,,,,,,,,,,,
1.2.5.1,Component In House,T+58d 8:30 AM,T+58d 8:30 AM,,,0%,,Malcolm Knapp {50% of 50%},,,,,,,"1.2.4.6.5.7, 1.2.4.6.4.2",,,,
1.2.5.2,Kitting,T+58d 8:30 AM,T+60d 8:30 AM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.5.1,,0,,
1.2.5.3,Kit to Assembly House,T+60d 8:30 AM,T+62d 8:30 AM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.5.2,,0,,
